"record_id"	"park_name"	"category"	"order"	"family"	"scientific_name"	"common_name"	"record_status"	"occurrence"	"nativeness"	"abundance"	"conservation_status"
"ARCH-1000"	"Arches National Park"	"Mammal"	"Artiodactyla"	"Antilocapridae"	"Antilocapra americana"	"Pronghorn"	"Approved"	"Present"	"Native"	"Uncommon"	NA
"ARCH-1001"	"Arches National Park"	"Mammal"	"Artiodactyla"	"Bovidae"	"Ovis canadensis"	"Bighorn Sheep"	"Approved"	"Present"	"Native"	"Uncommon"	"Species of Concern"
"ARCH-1002"	"Arches National Park"	"Mammal"	"Artiodactyla"	"Cervidae"	"Cervus canadensis"	"Elk"	"Approved"	"Present"	"Native"	"Unknown"	NA
"ARCH-1003"	"Arches National Park"	"Mammal"	"Artiodactyla"	"Cervidae"	"Odocoileus hemionus"	"Mule Deer"	"Approved"	"Present"	"Native"	"Uncommon"	NA
"ARCH-1004"	"Arches National Park"	"Mammal"	"Carnivora"	"Canidae"	"Canis latrans"	"Coyote"	"Approved"	"Present"	"Native"	"Uncommon"	"Species of Concern"
"ARCH-1005"	"Arches National Park"	"Mammal"	"Carnivora"	"Canidae"	"Urocyon cinereoargenteus"	"Common Gray Fox"	"Approved"	"Present"	"Native"	"Uncommon"	NA
"ARCH-1006"	"Arches National Park"	"Mammal"	"Carnivora"	"Canidae"	"Vulpes macrotis"	"Kit Fox"	"Approved"	"Present"	"Native"	"Unknown"	NA
"ARCH-1007"	"Arches National Park"	"Mammal"	"Carnivora"	"Canidae"	"Vulpes vulpes"	"Red Fox"	"Approved"	"Present"	"Native"	"Rare"	NA
"ARCH-1008"	"Arches National Park"	"Mammal"	"Carnivora"	"Felidae"	"Lynx rufus"	"Bobcat"	"Approved"	"Present"	"Native"	"Unknown"	NA
"ARCH-1009"	"Arches National Park"	"Mammal"	"Carnivora"	"Felidae"	"Puma concolor"	"Mountain Lion"	"Approved"	"Present"	"Native"	"Rare"	NA
"ARCH-1010"	"Arches National Park"	"Mammal"	"Carnivora"	"Mephitidae"	"Mephitis mephitis"	"Striped Skunk"	"Approved"	"Present"	"Native"	"Uncommon"	NA
"ARCH-1011"	"Arches National Park"	"Mammal"	"Carnivora"	"Mephitidae"	"Spilogale gracilis"	"Western Spotted Skunk"	"Approved"	"Present"	"Native"	"Unknown"	NA
"ARCH-1012"	"Arches National Park"	"Mammal"	"Carnivora"	"Mustelidae"	"Lontra canadensis"	"River Otter"	"Approved"	"Present"	"Unknown"	"Unknown"	NA
"ARCH-1013"	"Arches National Park"	"Mammal"	"Carnivora"	"Mustelidae"	"Mustela frenata"	"Long-Tailed Weasel"	"Approved"	"Not Confirmed"	"Native"	NA	NA
"ARCH-1014"	"Arches National Park"	"Mammal"	"Carnivora"	"Mustelidae"	"Mustela vison"	"Mink"	"Approved"	"Not Confirmed"	"Native"	NA	NA
"ARCH-1015"	"Arches National Park"	"Mammal"	"Carnivora"	"Mustelidae"	"Taxidea taxus"	"American Badger"	"Approved"	"Present"	"Native"	"Rare"	"Species of Concern"
"ARCH-1016"	"Arches National Park"	"Mammal"	"Carnivora"	"Procyonidae"	"Bassariscus astutus"	"Ringtail"	"Approved"	"Present"	"Native"	"Uncommon"	"Species of Concern"
"ARCH-1017"	"Arches National Park"	"Mammal"	"Carnivora"	"Procyonidae"	"Procyon lotor"	"Raccoon"	"Approved"	"Present"	"Native"	"Uncommon"	NA
"ARCH-1018"	"Arches National Park"	"Mammal"	"Carnivora"	"Ursidae"	"Ursus americanus"	"Black Bear"	"Approved"	"Present"	"Native"	"Rare"	NA
"ARCH-1019"	"Arches National Park"	"Mammal"	"Chiroptera"	"Molossidae"	"Nyctinomops macrotis"	"Big Free-Tailed Bat"	"Approved"	"Present"	"Native"	"Uncommon"	"Species of Concern"
"ARCH-1020"	"Arches National Park"	"Mammal"	"Chiroptera"	"Molossidae"	"Tadarida brasiliensis"	"Brazilian Free-Tailed Bat"	"Approved"	"Present"	"Native"	"Uncommon"	NA
"ARCH-1021"	"Arches National Park"	"Mammal"	"Chiroptera"	"Vespertilionidae"	"Antrozous pallidus"	"Pallid Bat"	"Approved"	"Present"	"Native"	NA	"Species of Concern"
"ARCH-1022"	"Arches National Park"	"Mammal"	"Chiroptera"	"Vespertilionidae"	"Corynorhinus townsendii"	"Townsend's Big-Eared Bat"	"Approved"	"Not Confirmed"	"Native"	NA	NA
"ARCH-1023"	"Arches National Park"	"Mammal"	"Chiroptera"	"Vespertilionidae"	"Eptesicus fuscus"	"Big Brown Bat"	"Approved"	"Not Confirmed"	"Native"	NA	"Species of Concern"
"ARCH-1024"	"Arches National Park"	"Mammal"	"Chiroptera"	"Vespertilionidae"	"Euderma maculatum"	"Spotted Bat"	"Approved"	"Not Confirmed"	"Native"	NA	"Species of Concern"
"ARCH-1025"	"Arches National Park"	"Mammal"	"Chiroptera"	"Vespertilionidae"	"Idionycteris phyllotis"	"Allen's Big-Eared Bat"	"Approved"	"Not Confirmed"	"Native"	NA	"Species of Concern"
"ARCH-1026"	"Arches National Park"	"Mammal"	"Chiroptera"	"Vespertilionidae"	"Lasionycteris noctivagans"	"Silver-Haired Bat"	"Approved"	"Not Confirmed"	"Native"	NA	"Species of Concern"
